Monthly Profile Dashboard

Step,EOL1,EOL2,EOL3,EOL4,EOL5,EOL6,EOL7,EOL8,EOL9,EOL10,EOL11,EOL12,EOL13,EOL14,EOL15,EOL16,EOL17,EOL18,EOL19,EOL20,EOL21,UFV1,UFV2,UFV3,UFV4,UFV5,UFV6,UFV7,UFV8,UFV9,UFV10,UFV11,UFV12,GD_CEMIG,GD_CPFL_PA,GD_CPFL_PI,GD_CPFL_SC,GD_EDP_ES,GD_EDP_SP,GD_ENEL_RJ,GD_ENEL_SP,GD_EMG,GD_EMS,GD_EMT,GD_ESS,GD_EQ_GO,GD_LIGHT,GD_CEB,GD_ELEKTRO,GD_CELESC,GD_COPEL,GD_RGE,GD_CEEE,GD_ENEL_CE,GD_ESE,GD_EQ_AL,GD_EQ_PI,GD_COELBA,GD_CELPE,GD_COSERN,GD_SULGIPE,GD_EPB,GD_ETO,GD_EQ_MA,GD_EQ_PA,GD_EAC,GD_ERO,GD_AME,GD_CEA,GD_RORAIMA,UFV2_SE,UFV9_SU,UFV2_NE,UFV2_NO,UFV9_AR
1,0.490000,0.410000,0.500000,0.310000,0.460000,0.400000,0.570000,0.500000,0.520000,0.520000,0.490000,0.390000,0.380000,0.390000,0.440000,0.500000,0.320000,0.250000,0.500000,0.240000,0.290000,0.270000,0.270000,0.280000,0.330000,0.300000,0.300000,0.290000,0.330000,0.270000,0.310000,0.300000,0.290000,0.200000,0.180000,0.190000,0.190000,0.220000,0.180000,0.200000,0.180000,0.200000,0.190000,0.180000,0.180000,0.190000,0.200000,0.200000,0.180000,0.210000,0.200000,0.230000,0.220000,0.190000,0.230000,0.230000,0.170000,0.230000,0.220000,0.210000,0.230000,0.220000,0.170000,0.160000,0.140000,0.160000,0.150000,0.150000,0.160000,0.170000,0.270000,0.270000,0.270000,0.270000,0.270000,
2,0.440000,0.350000,0.440000,0.320000,0.480000,0.420000,0.530000,0.470000,0.470000,0.480000,0.460000,0.360000,0.340000,0.380000,0.410000,0.480000,0.300000,0.240000,0.440000,0.240000,0.290000,0.290000,0.270000,0.280000,0.340000,0.300000,0.300000,0.290000,0.320000,0.280000,0.330000,0.290000,0.290000,0.210000,0.190000,0.180000,0.190000,0.220000,0.180000,0.200000,0.180000,0.200000,0.190000,0.170000,0.180000,0.190000,0.200000,0.200000,0.180000,0.190000,0.200000,0.210000,0.210000,0.180000,0.230000,0.220000,0.160000,0.220000,0.220000,0.210000,0.220000,0.220000,0.160000,0.150000,0.140000,0.150000,0.150000,0.150000,0.160000,0.180000,0.270000,0.280000,0.270000,0.270000,0.280000,
3,0.360000,0.260000,0.350000,0.290000,0.440000,0.400000,0.460000,0.420000,0.380000,0.390000,0.380000,0.290000,0.340000,0.390000,0.410000,0.470000,0.310000,0.250000,0.260000,0.240000,0.280000,0.260000,0.270000,0.290000,0.290000,0.310000,0.300000,0.290000,0.300000,0.270000,0.280000,0.290000,0.300000,0.190000,0.180000,0.180000,0.180000,0.190000,0.170000,0.180000,0.180000,0.180000,0.190000,0.170000,0.180000,0.180000,0.180000,0.190000,0.180000,0.180000,0.190000,0.190000,0.180000,0.180000,0.220000,0.220000,0.170000,0.210000,0.220000,0.200000,0.220000,0.210000,0.160000,0.140000,0.140000,0.150000,0.150000,0.150000,0.150000,0.170000,0.270000,0.270000,0.270000,0.270000,0.270000,
4,0.310000,0.240000,0.300000,0.390000,0.510000,0.480000,0.430000,0.390000,0.340000,0.380000,0.410000,0.300000,0.340000,0.390000,0.410000,0.480000,0.310000,0.250000,0.190000,0.240000,0.290000,0.270000,0.260000,0.260000,0.280000,0.300000,0.280000,0.280000,0.280000,0.260000,0.290000,0.270000,0.290000,0.180000,0.170000,0.170000,0.170000,0.170000,0.160000,0.170000,0.170000,0.170000,0.180000,0.170000,0.170000,0.180000,0.170000,0.190000,0.170000,0.150000,0.160000,0.160000,0.150000,0.160000,0.200000,0.200000,0.160000,0.190000,0.190000,0.180000,0.200000,0.190000,0.160000,0.130000,0.130000,0.150000,0.140000,0.140000,0.140000,0.160000,0.260000,0.260000,0.260000,0.260000,0.260000,
5,0.370000,0.310000,0.350000,0.520000,0.570000,0.540000,0.450000,0.430000,0.390000,0.450000,0.520000,0.390000,0.320000,0.400000,0.390000,0.460000,0.340000,0.280000,0.200000,0.250000,0.320000,0.260000,0.270000,0.220000,0.260000,0.270000,0.230000,0.270000,0.260000,0.240000,0.270000,0.250000,0.260000,0.160000,0.150000,0.140000,0.150000,0.150000,0.140000,0.140000,0.140000,0.150000,0.150000,0.160000,0.150000,0.180000,0.140000,0.180000,0.150000,0.120000,0.130000,0.120000,0.110000,0.170000,0.180000,0.180000,0.170000,0.170000,0.180000,0.180000,0.180000,0.180000,0.170000,0.140000,0.140000,0.160000,0.150000,0.140000,0.140000,0.150000,0.270000,0.240000,0.270000,0.270000,0.240000,
6,0.460000,0.410000,0.440000,0.650000,0.650000,0.620000,0.490000,0.500000,0.460000,0.540000,0.630000,0.480000,0.310000,0.410000,0.390000,0.470000,0.370000,0.270000,0.230000,0.250000,0.380000,0.250000,0.280000,0.210000,0.250000,0.250000,0.220000,0.260000,0.260000,0.230000,0.260000,0.240000,0.260000,0.150000,0.140000,0.140000,0.140000,0.140000,0.130000,0.130000,0.130000,0.140000,0.150000,0.160000,0.140000,0.170000,0.130000,0.170000,0.140000,0.110000,0.120000,0.100000,0.100000,0.180000,0.170000,0.170000,0.180000,0.160000,0.180000,0.180000,0.170000,0.180000,0.180000,0.160000,0.170000,0.170000,0.170000,0.150000,0.160000,0.150000,0.280000,0.230000,0.280000,0.280000,0.230000,
7,0.550000,0.520000,0.530000,0.710000,0.690000,0.660000,0.530000,0.540000,0.540000,0.610000,0.700000,0.550000,0.340000,0.440000,0.420000,0.500000,0.390000,0.270000,0.290000,0.260000,0.410000,0.260000,0.290000,0.210000,0.260000,0.260000,0.230000,0.270000,0.270000,0.230000,0.270000,0.260000,0.270000,0.160000,0.150000,0.140000,0.140000,0.150000,0.140000,0.140000,0.140000,0.150000,0.150000,0.170000,0.150000,0.180000,0.140000,0.180000,0.150000,0.120000,0.130000,0.110000,0.110000,0.200000,0.180000,0.180000,0.190000,0.170000,0.180000,0.190000,0.170000,0.180000,0.190000,0.180000,0.180000,0.180000,0.180000,0.170000,0.170000,0.150000,0.290000,0.230000,0.290000,0.290000,0.230000,
8,0.690000,0.660000,0.690000,0.720000,0.710000,0.690000,0.560000,0.600000,0.650000,0.700000,0.750000,0.620000,0.360000,0.460000,0.430000,0.510000,0.430000,0.320000,0.410000,0.290000,0.450000,0.300000,0.310000,0.250000,0.300000,0.300000,0.270000,0.310000,0.300000,0.280000,0.300000,0.300000,0.310000,0.190000,0.170000,0.170000,0.170000,0.180000,0.160000,0.170000,0.170000,0.180000,0.180000,0.190000,0.170000,0.200000,0.170000,0.200000,0.180000,0.140000,0.150000,0.130000,0.130000,0.220000,0.200000,0.200000,0.210000,0.190000,0.200000,0.210000,0.190000,0.210000,0.200000,0.200000,0.210000,0.190000,0.180000,0.170000,0.200000,0.160000,0.310000,0.280000,0.310000,0.310000,0.280000,
9,0.780000,0.710000,0.790000,0.670000,0.700000,0.670000,0.600000,0.650000,0.710000,0.740000,0.740000,0.630000,0.420000,0.480000,0.470000,0.550000,0.420000,0.320000,0.520000,0.290000,0.400000,0.290000,0.330000,0.280000,0.310000,0.320000,0.300000,0.320000,0.330000,0.270000,0.310000,0.330000,0.330000,0.210000,0.190000,0.190000,0.190000,0.200000,0.180000,0.190000,0.190000,0.190000,0.190000,0.180000,0.190000,0.200000,0.190000,0.210000,0.190000,0.170000,0.180000,0.170000,0.160000,0.230000,0.220000,0.220000,0.220000,0.210000,0.220000,0.230000,0.220000,0.220000,0.210000,0.210000,0.210000,0.180000,0.170000,0.170000,0.210000,0.170000,0.330000,0.270000,0.330000,0.330000,0.270000,
10,0.770000,0.690000,0.800000,0.540000,0.630000,0.580000,0.650000,0.680000,0.720000,0.730000,0.700000,0.580000,0.420000,0.480000,0.470000,0.540000,0.380000,0.310000,0.500000,0.290000,0.370000,0.280000,0.320000,0.290000,0.300000,0.330000,0.320000,0.330000,0.320000,0.270000,0.300000,0.320000,0.330000,0.200000,0.200000,0.200000,0.200000,0.210000,0.190000,0.200000,0.200000,0.200000,0.190000,0.180000,0.200000,0.190000,0.200000,0.200000,0.200000,0.180000,0.190000,0.200000,0.190000,0.240000,0.230000,0.240000,0.220000,0.220000,0.240000,0.240000,0.230000,0.240000,0.190000,0.210000,0.200000,0.180000,0.160000,0.160000,0.210000,0.170000,0.320000,0.270000,0.320000,0.320000,0.270000,
